chien dich quang cao, advertising campaign
hang noi tieng, big brand name
tui dung do, carrier bag
muc do phuc vu khach hang, customer service
no tien, owe money, to get into debt
bat ai do phai mua hang, give someone the hard sell
cua hang noi tieng, high street names
the thanh vien, loyalty card
mot mon hang ma ai cung muon, must-have product
chon duoc mot mon hoi, pick up a bargain
den nhieu cua hang, shop around
chup lay mot mon hoi, snap up a bargain
window shopping nhieu, do a lot of window shopping
